Crop,Soil Type,Temperature (Â°C),Rainfall (mm),Humidity (%)
Beetroots,Silty,27.7,1543,66
Pepper,Saline,15.6,1034,42
Jicama,Rocky,24.1,553,85
Taro,Peaty,32.9,1091,80
Chickpeas,Loamy,15.2,1283,86
Millet,Clay,15.8,1908,52
Apples,Clay,19.6,1156,57
Persian Melon,Saline,30.0,817,44
Pumpkins,Sandy,25.2,868,81
Cassava,Saline,25.1,779,58
Eucalyptus,Saline,26.8,1825,60
Garlic,Clay,15.6,988,74
Fennel,Sandy,16.1,1282,50
Edamame,Clay,28.1,1002,51
Pecans,Clay,31.0,945,51
Beetroots,Saline,15.0,1404,47
Zucchini,Peaty,20.0,1914,59
Acerola,Loamy,24.4,820,77
Breadfruit,Peaty,22.0,1184,79
Winter Melon,Sandy,16.7,1160,63
Buckwheat,Clay,21.6,1232,74
Garlic,Peaty,29.1,1557,45
Mulberries,Saline,25.3,1125,56
Agave,Peaty,27.3,1360,54
Ginseng,Peaty,16.9,1570,72
Rosemary,Rocky,32.5,1017,77
Nutmeg,Rocky,27.3,1137,74
Radish,Saline,25.7,588,56
Seaweed,Rocky,26.6,1985,48
Barley,Peaty,19.6,1361,73
Maize,Sandy,16.4,560,63
Soybeans,Peaty,21.5,1799,77
Wheat,Silty,34.7,1459,79
Wheat,Saline,24.0,1445,74
Ginger,Sandy,22.5,1965,46
Coffee,Sandy,31.3,1629,42
Bamboo Shoots,Loamy,23.3,1054,50
Zucchini,Saline,15.3,891,87
Pumpkins,Clay,29.3,1222,53
Cotton,Rocky,18.3,1546,82
Bananas,Sandy,18.8,1338,69
Artichoke,Silty,19.1,543,83
Pumpkins,Rocky,24.7,1529,51
Bananas,Silty,26.9,1265,78
Basil,Rocky,22.5,1744,57
Persian Melon,Loamy,30.6,1022,40
Cranberry,Loamy,35.0,1429,43
Blackberry,Rocky,34.9,1899,74
Coffee,Rocky,29.7,1476,61
Sweet Potatoes,Rocky,32.5,1910,78
Sesame,Rocky,15.2,1082,90
Sugarcane,Clay,16.5,506,85
Lavender,Loamy,32.0,1725,52
Quinoa,Silty,23.3,1351,64
Barley,Rocky,34.6,1048,46
Chard,Loamy,24.7,1519,40
Dill,Sandy,32.9,1633,71
Breadfruit,Rocky,24.1,1651,46
Cabbage,Peaty,31.8,1603,54
Lavender,Clay,25.5,640,45
Okra,Saline,33.1,1257,41
Cucumbers,Rocky,27.3,1704,64
Chillies,Peaty,19.6,1163,76
Taro,Silty,19.8,1769,54
Pepper,Silty,25.8,931,57
Chard,Saline,27.8,1468,73
Sisal,Peaty,34.2,998,57
Leeks,Silty,31.8,623,53
Cabbage,Peaty,23.0,1152,41
Artichoke,Peaty,23.3,1211,74
Cashew Nuts,Silty,29.7,1404,79
Cloves,Silty,17.5,723,86
Dates,Sandy,23.6,1945,65
Mustard,Silty,26.4,1992,78
Carrots,Saline,17.1,1701,60
Neem,Rocky,20.6,1309,53
Ginger,Clay,28.3,1067,74
Tea,Sandy,32.9,992,54
Taro,Rocky,31.4,1420,52
Tamarind,Sandy,33.7,1467,61
Barley,Sandy,34.5,1691,82
Neem,Silty,21.5,1034,71
Chard,Loamy,33.4,863,44
Asparagus,Rocky,33.9,1683,54
Pineapples,Peaty,15.6,1885,53
Coffee,Loamy,31.9,767,61
Lotus Root,Loamy,26.7,674,70
Turmeric,Saline,22.8,1947,70
Peas,Rocky,33.3,1110,45
Tobacco,Clay,23.5,651,54
Sunflower,Loamy,28.7,1438,76
Moringa,Saline,30.8,1932,53
Chillies,Rocky,17.9,1225,53
Sisal,Rocky,32.1,1034,40
Apples,Clay,30.4,1152,70
Lettuce,Rocky,17.9,1428,49
Parsnips,Rocky,21.9,1236,41
Hazelnuts,Loamy,34.3,1045,61
Pepper,Peaty,26.5,1549,49
Mustard Greens,Saline,33.0,1838,80
Sugarcane,Clay,26.0,765,70
Passion Fruits,Loamy,24.4,1734,60
Okra,Clay,20.4,1963,46
Coconut,Peaty,25.1,986,40
Peaches,Clay,34.2,865,72
Mustard Greens,Silty,22.2,545,55
Tobacco,Peaty,35.0,1309,40
Cassava,Silty,27.6,1422,53
Blackberry,Rocky,15.9,604,46
Rutabaga,Saline,22.3,1335,90
Cardamom,Silty,15.6,1295,78
Breadfruit,Sandy,25.0,1437,83
Tea,Rocky,33.8,1301,81
Snake Gourd,Loamy,19.5,1960,54
Winter Melon,Sandy,21.4,997,71
Coffee,Saline,27.2,1763,68
Eggplants,Clay,16.4,1896,42
Turnips,Rocky,19.6,1128,63
Spinach,Clay,34.9,576,48
Tomatoes,Silty,15.0,508,64
Tarragon,Rocky,25.4,784,77
Cowpeas,Sandy,21.8,1722,68
Mustard,Silty,22.8,727,81
Persimmons,Loamy,20.4,1095,70
Sugarcane,Peaty,18.8,939,61
Dragon Fruit,Peaty,34.0,973,49
Mangoes,Silty,24.9,1870,41
Jute,Rocky,26.5,1472,79
Maize,Sandy,33.1,1823,76
Cranberry,Saline,32.9,975,46
Tomatoes,Peaty,22.2,1487,53
Figs,Saline,32.0,921,81
Tobacco,Peaty,22.4,1184,87
Tarragon,Rocky,32.6,1013,42
Lemons,Sandy,22.0,1533,60
Celery,Silty,23.2,501,81
Edamame,Silty,30.1,664,52
Plums,Loamy,33.4,1338,78
Tamarind,Saline,20.7,1200,56
Zucchini,Saline,30.3,1142,72
Coriander,Saline,24.0,1851,60
Rosemary,Sandy,26.7,1591,87
Broccoli,Rocky,22.9,977,89
Groundnuts,Silty,19.5,1168,52
Apples,Peaty,25.5,634,59
Rutabaga,Loamy,15.5,1265,69
Ginseng,Saline,20.5,788,79
Cassava,Silty,26.7,1510,71
Sesame,Silty,22.3,1259,61
Tomatoes,Rocky,22.1,1230,53
Watermelon,Loamy,33.4,743,79
Coconut,Loamy,27.4,1333,84
Parsnips,Loamy,18.0,1849,40
Wheat,Loamy,31.2,714,70
Sorghum,Clay,30.3,1685,40
Turmeric,Rocky,24.7,1721,56
Turnips,Clay,27.7,998,89
Peaches,Rocky,15.6,1700,71
Cauliflower,Sandy,33.3,590,56
Rice,Silty,24.8,1312,73
Onions,Silty,20.9,1748,88
Barley,Saline,31.5,1596,71
Nutmeg,Sandy,19.0,1108,50
Beetroots,Peaty,17.5,1999,64
Pepper,Rocky,22.9,1248,56
Ginger,Loamy,34.3,1556,53
Macadamia,Silty,29.6,1708,66
Spinach,Sandy,21.9,1184,51
Artichoke,Rocky,17.0,1614,59
Soybeans,Silty,33.0,1298,54
Cabbage,Rocky,19.8,1978,41
Sesame,Silty,19.6,1969,56
Barley Grass,Peaty,34.2,655,89
Onions,Silty,25.1,1043,50
Garlic,Sandy,19.5,1589,82
Asparagus,Peaty,33.7,1172,79
Millet,Clay,24.7,1617,68
Thyme,Rocky,20.5,915,56
Seaweed,Clay,18.3,959,52
Pawpaw,Clay,16.3,845,71
Edamame,Rocky,27.1,1329,48
Yams,Rocky,20.0,575,75
Watermelon,Sandy,17.5,1696,89
Baobab,Sandy,31.7,596,63
Chickpeas,Peaty,29.9,1634,78
Tea,Peaty,28.7,875,84
Lemons,Loamy,32.9,1561,44
Hibiscus,Sandy,34.9,826,59
Sesame,Peaty,17.1,625,76
Tarragon,Saline,34.0,1003,76
Plums,Rocky,21.9,1901,44
Acerola,Loamy,21.3,1825,73
Raspberry,Saline,33.5,1175,48
Coconut,Clay,22.2,1063,78
Turnips,Silty,18.1,1890,61
Cucumbers,Saline,19.9,1412,81
Edamame,Rocky,30.2,554,77
Maize,Loamy,27.1,1707,72
Thyme,Saline,15.3,1269,86
Bitter Melon,Rocky,22.0,1316,86
Pumpkins,Clay,15.6,1201,43
Vanilla,Silty,30.4,1008,68
Mustard Greens,Rocky,23.7,1435,76
Hazelnuts,Sandy,32.3,1364,50
Blackberry,Clay,16.7,1036,60
Ginseng,Sandy,20.5,1247,51
Cinnamon,Silty,21.0,992,62
Tobacco,Clay,30.4,1074,77
Oranges,Peaty,19.2,1637,55
Alfalfa,Saline,21.4,1349,85
Wheat,Saline,21.7,1513,89
Mint,Silty,30.7,764,88
Sesame,Rocky,27.2,1738,46
Eucalyptus,Peaty,23.6,1479,42
Tamarind,Clay,25.9,896,64
Sunflower,Clay,18.2,1114,88
Elderberry,Clay,34.8,1880,42
Dill,Silty,33.3,1738,50
Ginger,Sandy,30.3,1097,69
Strawberries,Peaty,30.6,796,53
Turmeric,Peaty,25.9,604,52
Edamame,Saline,34.7,1135,82
Cloves,Loamy,34.7,1898,45
Peaches,Sandy,18.5,946,47
Fennel,Loamy,29.7,1412,62
Wheat,Rocky,25.5,796,66
Lentils,Peaty,30.9,1101,55
Nutmeg,Loamy,21.2,1451,85
Soursop,Saline,33.5,1865,89
Jicama,Peaty,24.0,1325,60
Garlic,Clay,27.1,683,67
Okra,Peaty,17.7,1378,71
Radish,Silty,16.4,665,47
Sorghum,Loamy,25.4,879,84
Sesame,Saline,24.5,1522,84
Guava,Sandy,17.1,941,71
Lentils,Loamy,27.3,1797,64
Millet,Silty,21.9,1606,89
Taro,Sandy,34.1,687,71
Rutabaga,Rocky,18.3,620,68
Millet,Saline,34.7,1169,76
Mustard Greens,Silty,15.2,1025,48
Coriander,Loamy,33.8,1963,88
Edamame,Peaty,24.6,945,77
Coconut,Rocky,28.9,1907,46
Tamarind,Rocky,23.3,602,72
Pineapples,Rocky,22.2,875,88
Pumpkins,Saline,16.9,870,69
Persian Melon,Loamy,20.9,1202,53
Gooseberries,Saline,32.5,1837,69
Plums,Rocky,21.8,1946,56
Taro,Sandy,20.3,1788,71
Neem,Rocky,31.2,946,65
Basil,Peaty,28.3,513,68
Barley,Loamy,25.2,1375,47
Blackberry,Peaty,25.1,540,72
Spinach,Sandy,26.9,1621,85
Cloves,Peaty,34.5,1790,45
Beans,Rocky,28.1,1548,51
Dates,Saline,30.1,603,59
Strawberries,Sandy,28.8,1921,58
Cinnamon,Silty,18.2,1926,62
Acerola,Saline,30.3,864,58
Pecans,Rocky,25.9,756,67
Pepper,Loamy,32.6,1738,79
Cranberry,Sandy,17.8,1953,56
Bananas,Rocky,21.4,1828,80
Guava,Saline,16.0,1465,57
Sweet Potatoes,Saline,33.4,1873,86
Cashew Nuts,Rocky,26.2,1271,44
Maize,Loamy,19.4,1320,46
Cassava,Sandy,18.4,752,73
Dates,Clay,27.0,912,59
Cowpeas,Peaty,30.1,1751,48
Soybeans,Silty,32.7,1903,64
Agave,Silty,34.4,1972,54
Jute,Silty,30.0,568,81
Baobab,Loamy,22.2,794,65
Lavender,Sandy,27.7,1359,84
Broccoli,Sandy,20.9,969,74
Coconut,Peaty,24.5,1208,79
Millet,Rocky,29.5,689,75
Barley,Peaty,21.1,864,59
Sesame,Saline,31.7,1969,77
Mustard,Saline,16.1,939,43
Apples,Sandy,34.2,1036,57
Groundnuts,Sandy,26.2,859,53
Turmeric,Clay,27.0,1383,62
Coriander,Sandy,23.1,556,63
Barley Grass,Silty,25.2,636,40
Asparagus,Silty,28.3,560,66
Tea,Saline,30.4,1519,54
Garlic,Rocky,26.5,918,49
Mulberries,Rocky,16.8,718,66
Dates,Loamy,20.1,782,73
Lotus Root,Silty,20.0,1685,62
Taro,Rocky,18.6,519,74
Cotton,Saline,29.4,1230,73
Jute,Sandy,18.0,1786,74
Sunflower,Loamy,15.8,1277,72
